brand_name,model_name,variant_name,
Maruti Suzuki,Alto,STD,
Maruti Suzuki,Alto,LXI,
Maruti Suzuki,Alto,VXI,
Maruti Suzuki,Alto,VXI PLUS,
Maruti Suzuki,Alto 800,STD,
Maruti Suzuki,Alto 800,LXI,
Maruti Suzuki,Alto 800,VXI,
Maruti Suzuki,Alto 800,VXI PLUS,
Maruti Suzuki,Alto K10,STD,
Maruti Suzuki,Alto K10,LXI,
Maruti Suzuki,Alto K10,VXI,
Maruti Suzuki,Alto K10,VXI PLUS,
Maruti Suzuki,800,STD,
Maruti Suzuki,800,LXI,
Maruti Suzuki,800,VXI,
Maruti Suzuki,1000,STD,
Maruti Suzuki,1000,LXI,
Maruti Suzuki,1000,VXI,
Maruti Suzuki,Eeco,5 Seater Standard,
Maruti Suzuki,Eeco,5 Seater Standard with CNG,
Maruti Suzuki,Eeco,5 Seater AC,
Maruti Suzuki,Eeco,5 Seater AC with CNG,
Maruti Suzuki,Eeco,7 Seater Standard,
Maruti Suzuki,Eeco,7 Seater Standard,
Maruti Suzuki,Eeco,Cargo,
Maruti Suzuki,Eeco,Cargo CNG + AC Ambulance,
Maruti Suzuki,Eeco,Ambulance Petrol AC Plus HTR,
Maruti Suzuki,Eeco,Tour V 5 STR STD,
Maruti Suzuki,Eeco,Tour V 5 STR AC,
Maruti Suzuki,Eeco,Tour V 7 STR,
Maruti Suzuki,Eeco,Tour V 5 STR CNG,
Maruti Suzuki,Zen Estilo,LX BS-IV,
Maruti Suzuki,Zen Estilo,LX,
Maruti Suzuki,Zen Estilo,LXI BS-IV,
Maruti Suzuki,Zen Estilo,LXi,
Maruti Suzuki,Zen Estilo,LXi CNG,
Maruti Suzuki,Zen Estilo,Sports,
Maruti Suzuki,Zen Estilo,VXi,
Maruti Suzuki,S-Presso,STD,
Maruti Suzuki,S-Presso,LXI,
Maruti Suzuki,S-Presso,VXI,
Maruti Suzuki,S-Presso,VXI PLUS,
Maruti Suzuki,S-Presso,VXI AGS,
Maruti Suzuki,S-Presso,VXI AGS,
Maruti Suzuki,Celerio,LXi,
Maruti Suzuki,Celerio,VXi,
Maruti Suzuki,Celerio,ZXi,
Maruti Suzuki,Celerio,ZXi(O),
Maruti Suzuki,Celerio,VXi AMT,
Maruti Suzuki,Celerio,ZXi AMT,
Maruti Suzuki,Celerio,ZXi(O) AMT,
Maruti Suzuki,Celerio X,VXi,
Maruti Suzuki,Celerio X,ZXi,
Maruti Suzuki,Celerio X,ZXi(O),
Maruti Suzuki,Celerio X,VXi AMT,
Maruti Suzuki,Celerio X,ZXi AMT,
Maruti Suzuki,Celerio X,ZXi(O),
Maruti Suzuki,Wagon R,LXI,
Maruti Suzuki,Wagon R,LXI (O),
Maruti Suzuki,Wagon R,VXI,
Maruti Suzuki,Wagon R,VXI (O),
Maruti Suzuki,Wagon R,ZXI,
Maruti Suzuki,Wagon R,VXI AGS,
Maruti Suzuki,Wagon R,ZXI AGS,
Maruti Suzuki,Swift,LXI,
Maruti Suzuki,Swift,VXI,
Maruti Suzuki,Swift,VXI AGS,
Maruti Suzuki,Swift,ZXI,
Maruti Suzuki,Swift,ZXI +,
Maruti Suzuki,Swift,ZXI AGS,
Maruti Suzuki,Swift,ZXI+ AGS,
Maruti Suzuki,Dzire,LXI,
Maruti Suzuki,Dzire,VXI,
Maruti Suzuki,Dzire,VXI AGS,
Maruti Suzuki,Dzire,ZXI,
Maruti Suzuki,Dzire,ZXI +,
Maruti Suzuki,Dzire,ZXI AGS,
Maruti Suzuki,Dzire,ZXI+ AGS,
Maruti Suzuki,Ertiga,LXI,
Maruti Suzuki,Ertiga,VXI,
Maruti Suzuki,Ertiga,ZXI,
Maruti Suzuki,Ertiga,VXI AT,
Maruti Suzuki,Ertiga,ZXI Plus,
Maruti Suzuki,Ertiga,ZXI AT,
Maruti Suzuki,Ertiga,Tour M,
Maruti Suzuki,Vitara Brezza,LXI,
Maruti Suzuki,Vitara Brezza,VXI,
Maruti Suzuki,Vitara Brezza,ZXI,
Maruti Suzuki,Vitara Brezza,ZXI Plus,
Maruti Suzuki,Vitara Brezza,ZXi Plus Dual Tone,
Maruti Suzuki,S-Cross 1.3,Sigma,
Maruti Suzuki,S-Cross 1.3,Delta,
Maruti Suzuki,S-Cross 1.3,Zeta,
Maruti Suzuki,S-Cross 1.3,Alpha,
Maruti Suzuki,S-Cross 1.6,Zeta,
Maruti Suzuki,S-Cross 1.6,Alpha,
Maruti Suzuki,Baleno,Sigma,
Maruti Suzuki,Baleno,Delta,
Maruti Suzuki,Baleno,Zeta,
Maruti Suzuki,Baleno,Alpha,
Maruti Suzuki,Ignis,Sigma,
Maruti Suzuki,Ignis,Delta,
Maruti Suzuki,Ignis,Zeta,
Maruti Suzuki,Ignis,Alpha,
Maruti Suzuki,Ciaz,Sigma,
Maruti Suzuki,Ciaz,Delta,
Maruti Suzuki,Ciaz,Zeta,
Maruti Suzuki,Ciaz,Alpha,
Hyundai,Santro,Era Executive,
Hyundai,Santro,Magna,
Hyundai,Santro,Sportz,
Hyundai,Santro,Asta,
Hyundai,Grand i10 Nios,Era,
Hyundai,Grand i10 Nios,Magna,
Hyundai,Grand i10 Nios,Sportz,
Hyundai,Grand i10 Nios,Turbo,
Hyundai,Grand i10 Nios,Asta,
Hyundai,i20,Era,
Hyundai,i20,Era +,
Hyundai,i20,Magna,
Hyundai,i20,Sportz,
Hyundai,i20,Asta,
Hyundai,i20,Asta (O),
Hyundai,Aura,E,
Hyundai,Aura,S,
Hyundai,Aura,SX,
Hyundai,Aura,SX(O),
Hyundai,Verna,S,
Hyundai,Verna,S+,
Hyundai,Verna,SX,
Hyundai,Verna,SX(O),
Hyundai,Verna,SX(O) Turbo,
Hyundai,Elantra,S,
Hyundai,Elantra,SX,
Hyundai,Elantra,SX(O),
Hyundai,Tucson,GL(O),
Hyundai,Tucson,GLS,
Hyundai,Tucson,GLS 4WD,
Hyundai,Kona Electric,Premium,
Hyundai,Kona Electric,Premium Dual Tone,
Hyundai,Creta,E,
Hyundai,Creta,EX,
Hyundai,Creta,S,
Hyundai,Creta,S+,
Hyundai,Creta,S+ Knight Edition,
Hyundai,Creta,SX Executive,
Hyundai,Creta,SX,
Hyundai,Creta,SX(O),
Hyundai,Alcazar,Prestige,
Hyundai,Alcazar,Platinum,
Hyundai,Alcazar,Signature,
Hyundai,Alcazar,Signature (O),
Tata Motors,Tiago,XE,
Tata Motors,Tiago,XT,
Tata Motors,Tiago,XZ,
Tata Motors,Tiago,XZA+,
Tata Motors,Tigor,XE,
Tata Motors,Tigor,XM,
Tata Motors,Tigor,XZ,
Tata Motors,Tigor,XZA+,
Tata Motors,Altroz,XE,
Tata Motors,Altroz,XM,
Tata Motors,Altroz,XT,
Tata Motors,Altroz,XZ,
Tata Motors,Altroz,XZ(O),
Tata Motors,Nexon,XE,
Tata Motors,Nexon,XM,
Tata Motors,Nexon,XMA,
Tata Motors,Nexon,XZ,
Tata Motors,Nexon,XZ+,
Tata Motors,Nexon,XZA+,
Tata Motors,Harrier,XE,
Tata Motors,Harrier,XM,
Tata Motors,Harrier,XT, 
Tata Motors,Harrier,XZ,
Tata Motors,Harrier,XZA,
Tata Motors,Harrier,Dark Edition,
Tata Motors,Safari,XE,
Tata Motors,Safari,XM,
Tata Motors,Safari,XT,
Tata Motors,Safari,XZ,
Tata Motors,Safari,Adventure Persona,
Tata Motors,Sumo,Gold,
Tata Motors,Sumo,GX,
Tata Motors,Sumo,CX,
Tata Motors,Indica,eV2,
Tata Motors,Indica,LS,
Tata Motors,Indica,LX,
Tata Motors,Indica,Vista,
Tata Motors,Indigo,eCS,
Tata Motors,Indigo,LS,
Tata Motors,Indigo,LX,
Tata Motors,Indigo,VX,
Tata Motors,Zest,XE,
Tata Motors,Zest,XM,
Tata Motors,Zest,XMA,
Tata Motors,Zest,XT,
Tata Motors,Zest,XZ,
Tata Motors,Zest,Premio,
Mahindra & Mahindra,Thar,AX,
Mahindra & Mahindra,Thar,AX Optional,
Mahindra & Mahindra,Thar,LX,
Mahindra & Mahindra,Thar,LX Diesel Automatic,
Mahindra & Mahindra,XUV300,W4,
Mahindra & Mahindra,XUV301,W6,
Mahindra & Mahindra,XUV302,W6 AMT,
Mahindra & Mahindra,XUV303,W8,
Mahindra & Mahindra,XUV304,W8 AMT,
Mahindra & Mahindra,XUV305,W8(O),
Mahindra & Mahindra,XUV306,W8(O) AMT,
Mahindra & Mahindra,Bolero,B4,
Mahindra & Mahindra,Bolero,B6,
Mahindra & Mahindra,Bolero,B6(O),
Mahindra & Mahindra,Scorpio,S5,
Mahindra & Mahindra,Scorpio,S7,
Mahindra & Mahindra,Scorpio,S9,
Mahindra & Mahindra,Scorpio,S11,
Mahindra & Mahindra,Marazzo,M2,
Mahindra & Mahindra,Marazzo,M4,
Mahindra & Mahindra,Marazzo,M6,
Mahindra & Mahindra,Marazzo,M8,
Mahindra & Mahindra,Verito,D2,
Mahindra & Mahindra,Verito,D4,
Mahindra & Mahindra,Verito,D6,
Mahindra & Mahindra,KUV100 NXT,K2,
Mahindra & Mahindra,KUV100 NXT,K2+,
Mahindra & Mahindra,KUV100 NXT,K4+,
Mahindra & Mahindra,KUV100 NXT,K6+,
Mahindra & Mahindra,KUV100 NXT,K8,
Mahindra & Mahindra,KUV100 NXT,K8 Dual Tone,
Mahindra & Mahindra,Alturas G4,2WD AT,
Mahindra & Mahindra,Alturas G5,4WD AT,
Mahindra & Mahindra,TUV300,T4,
Mahindra & Mahindra,TUV301,T6,
Mahindra & Mahindra,TUV302,T6+,
Mahindra & Mahindra,TUV303,T8,
Mahindra & Mahindra,TUV304,T10,
Mahindra & Mahindra,e-Verito,D2,
Mahindra & Mahindra,e-Verito,D4,
Mahindra & Mahindra,e-Verito,D6,
Kia Motors,Seltos,HTE,
Kia Motors,Seltos,HTK,
Kia Motors,Seltos,HTK+,
Kia Motors,Seltos,HTX,
Kia Motors,Seltos,HTX+,
Kia Motors,Seltos,GTX,
Kia Motors,Seltos,GTX+,
Kia Motors,Sonet,HTE,
Kia Motors,Sonet,HTK,
Kia Motors,Sonet,HTK+,
Kia Motors,Sonet,HTX,
Kia Motors,Sonet,HTX+,
Kia Motors,Sonet,GTX,
Kia Motors,Sonet,GTX+,
Kia Motors,Carnival,Premium,
Kia Motors,Carnival,Prestige,
Kia Motors,Carnival,Limousine,
Toyota,Fortuner,2.7 4x2 MT,
Toyota,Fortuner,2.7 4x2 AT,
Toyota,Fortuner,2.8 4x2 MT,
Toyota,Fortuner,2.8 4x2 AT,
Toyota,Fortuner,2.8 4x4 MT,
Toyota,Fortuner,2.8 4x4 AT,
Toyota,Innova Crysta,2.7 GX MT 7-Seater,
Toyota,Innova Crysta,2.7 GX AT 7-Seater,
Toyota,Innova Crysta,2.7 VX MT 7-Seater,
Toyota,Innova Crysta,2.7 ZX AT 7-Seater,
Toyota,Innova Crysta,2.4 G MT 7-Seater,
Toyota,Innova Crysta,2.4 GX AT 7-Seater,
Toyota,Camry Hybrid,2.5 Hybrid,
Toyota,Yaris,J,
Toyota,Yaris,G,
Toyota,Yaris,V,
Toyota,Yaris,VX,
Toyota,Yaris,VX CVT,
Toyota,Glanza,G,
Toyota,Glanza,G Smart Hybrid,
Toyota,Glanza,V,
Toyota,Glanza,V Smart Hybrid,
Toyota,Corolla Altis,1.8G,
Toyota,Corolla Altis,1.8G CVT,
Toyota,Corolla Altis,1.8GL,
Toyota,Corolla Altis,1.8VL CVT,
Toyota,Urban Cruiser,Mid,
Toyota,Urban Cruiser,High,
Toyota,Urban Cruiser,Premium,
Toyota,Land Cruiser,LC 200 VX,
Toyota,Land Cruiser,LC 200 ZX,
Toyota,GR Supra,3.o,
Toyota,GR Supra,3.0 Pro,
Toyota,Prius,Z8,
Toyota,Prius,Z8 Plus,
Honda,City,SV MT,
Honda,City,V MT,
Honda,City,VX MT,
Honda,City,ZX MT,
Honda,City,SV CVT,
Honda,City,V CVT,
Honda,City,VX CVT,
Honda,City,ZX CVT,
Honda,Amaze,E MT,
Honda,Amaze,S MT,
Honda,Amaze,V MT,
Honda,Amaze,VX MT,
Honda,Amaze,S CVT,
Honda,Amaze,V CVT,
Honda,Amaze,VX CVT,
Honda,WR-V,SV MT,
Honda,WR-V,VX MT,
Honda,WR-V,SV CVT,
Honda,WR-V,VX CVT,
Honda,Jazz,V MT,
Honda,Jazz,VX MT,
Honda,Jazz,ZX MT,
Honda,Civic,V,
Honda,Civic,VX,
Honda,Civic,ZX,
Honda,CR-V,2.0 2WD,
Honda,CR-V,1.5L VTEC Turbo 2WD,
Honda,CR-V,1.5L VTEC Turbo AWD,
Honda,Accord,Hybrid,
Honda,Brio,E MT,
Honda,Brio,VX CVT,
Honda,Mobilio,E MT,
Honda,Mobilio,S,
Honda,Mobilio,V,
Honda,Mobilio,RS,
Honda,BR-V,E MT,
Honda,BR-V,S MT,
Honda,BR-V,V MT,
Honda,BR-V,VX MT,
Honda,BR-V,S CVT,
Honda,BR-V,V CVT,
Honda,BR-V,VX CVT,
Ford,Figo,Ambiente,
Ford,Figo,Titanium,
Ford,Figo,Titanium Blu,
Ford,Figo,Titanium AT,
Ford,Aspire,Ambiente,
Ford,Aspire,Trend,
Ford,Aspire,Titanium,
Ford,Aspire,Titanium+,
Ford,Aspire,Titanium+ AT,
Ford,Freestyle,Ambiente,
Ford,Freestyle,Trend,
Ford,Freestyle,Titanium,
Ford,Freestyle,Titanium+,
Ford,Ecosport,Ambiente,
Ford,Ecosport,Trend,
Ford,Ecosport,Titanium,
Ford,Ecosport,Titanium+,
Ford,Ecosport,S,
Ford,Ecosport,SE,
Ford,Endeavour,Titanium 4X2 AT,
Ford,Endeavour,Titanium+ 4X2 AT,
Ford,Endeavour,Titanium+ 4X4 AT,
Ford,Endeavour,Sport 4X4 AT,
Ford,Ford Mustang,5.0L V8 GT,
Volkswagen,Polo,Trendline,
Volkswagen,Polo,Comfortline,
Volkswagen,Polo,Highline Plus,
Volkswagen,Polo,GT,
Volkswagen,Polo,GT TSI,
Volkswagen,Vento,Trendline,
Volkswagen,Vento,Comfortline,
Volkswagen,Vento,Highline,
Volkswagen,Vento,Highline Plus,
Volkswagen,Vento,GT,
Volkswagen,Vento,GT TSI,
Volkswagen,T-Roc,TSI,
Volkswagen,Tiguan,Comfortline,
Volkswagen,Tiguan,Highline,
Volkswagen,Tiguan,Allspace,
Volkswagen,Passat,Highline Plus,
Volkswagen,Taigun,Comfortline,
Volkswagen,Taigun,Highline,
Volkswagen,Taigun,GT,
Volkswagen,T-Cross,Comfortline,
Volkswagen,T-Cross,Highline,
Renault,Kwid,STD,
Renault,Kwid,RXE,
Renault,Kwid,RXL,
Renault,Kwid,RXT,
Renault,Kwid,Climber,
Renault,Kwid,Neotech,
Renault,Triber,RXE,
Renault,Triber,RXL,
Renault,Triber,RXT,
Renault,Triber,RXZ,
Renault,Triber,Ultro ECO,
Renault,Duster,RXE,
Renault,Duster,RXS,
Renault,Duster,RXZ,
Renault,Duster,Turbo Petrol MT,
Renault,Kiger,RXE,
Renault,Kiger,RXL,
Renault,Kiger,RXT,
Renault,Kiger,RXZ,
Renault,Captur,RXE,
Renault,Captur,RXL,
Renault,Captur,RXT,
Renault,Captur,Platine,
Skoda,Rapid,Rider Plus,
Skoda,Rapid,Ambition,
Skoda,Rapid,Onyx,
Skoda,Rapid,Style,
Skoda,Rapid,Monte Carlo,
Skoda,Octavia,Style,
Skoda,Octavia,L&K,
Skoda,Octavia,RS 245,
Skoda,Octavia,RS 245 Challenge,
Skoda,Superb,Sportline,
Skoda,Superb,Laurin & Klement,
Skoda,Superb,Corporate Edition,
Skoda,Kushaq,Activa,
Skoda,Kushaq,Ambition,
Skoda,Kushaq,Style,
Skoda,Kushaq,Monte Carlo,
Skoda,Kodiaq,Style,
Skoda,Kodiaq,L&K,
Skoda,Kodiaq,RS,
Nissan,Micra,XL,
Nissan,Micra,XV,
Nissan,Micra,XV Premium CVT,
Nissan,Micra,XV CVT,
Nissan,Sunny,XE,
Nissan,Sunny,XL,
Nissan,Sunny,XL CVT,
Nissan,Sunny,XV,
Nissan,Kicks,XL,
Nissan,Kicks,XV,
Nissan,Kicks,XV Premium,
Nissan,Kicks,XV Premium (O),
Nissan,Kicks,XV Premium (O) Dual Tone,
Nissan,Magnite,XE,
Nissan,Magnite,XL,
Nissan,Magnite,XV,
Nissan,Magnite,XV Premium,
Nissan,Magnite,XV Premium (O),
Nissan,GT-R,Premium,
Nissan,GT-R,Track Edition,
MG Motor,Hector,Style,
MG Motor,Hector,Super,
MG Motor,Hector,Smart,
MG Motor,Hector,Sharp,
MG Motor,Hector,Select,
MG Motor,ZS EV,Excite,
MG Motor,ZS EV,Exclusive,
MG Motor,Gloster,Super,
MG Motor,Gloster,Sharp,
MG Motor,Gloster,Savvy,
MG Motor,Hector Plus,Style,
MG Motor,Hector Plus,Super,
MG Motor,Hector Plus,Smart,
MG Motor,Hector Plus,Sharp,
MG Motor,Hector Plus,Select,
Jeep,Compass,Sport,
Jeep,Compass,Longitude,
Jeep,Compass,Limited,
Jeep,Compass,80th Anniversary Edition,
Jeep,Compass,S,
Jeep,Wrangler,Sport,
Jeep,Wrangler,Sahara,
Jeep,Wrangler,Rubicon,
Jeep,Grand Cherokee,Limited,
Jeep,Grand Cherokee,Summit,
Jeep,Renegade,Sport,
Jeep,Renegade,Longitude,
Jeep,Renegade,Limited,
Audi,A3 Sedan,Premium,
Audi,A3 Sedan,Premium Plus,
Audi,A3 Sedan,Prestige,
Audi,A3 Cabriolet,Premium Plus,
Audi,A3 Cabriolet,Prestige,
Audi,A4 Sedan,Premium,
Audi,A4 Sedan,Premium Plus,
Audi,A4 Sedan,Prestige,
Audi,A4 Avant,Premium,
Audi,A4 Avant,Premium Plus,
Audi,A4 Avant,Prestige,
Audi,A5 Sportback,Premium,
Audi,A5 Sportback,Premium Plus,
Audi,A5 Sportback,Prestige,
Audi,A5 Sportback,RS5,
Audi,A5 Coupe,Premium,
Audi,A5 Coupe,Premium Plus,
Audi,A5 Coupe,Prestige,
Audi,A5 Coupe,RS5,
Audi,A5 Cabriolet,Premium,
Audi,A5 Cabriolet,Premium Plus,
Audi,A5 Cabriolet,Prestige,
Audi,A6 Sedan,Premium,
Audi,A6 Sedan,Premium Plus,
Audi,A6 Sedan,Prestige,
Audi,A6 Avant,Premium,
Audi,A6 Avant,Premium Plus,
Audi,A6 Avant,Prestige,
Audi,A6 Allroad,Premium,
Audi,A6 Allroad,Premium Plus,
Audi,A6 Allroad,Prestige,
Audi,A7 Sportback,Premium,
Audi,A7 Sportback,Premium Plus,
Audi,A7 Sportback,Prestige,
Audi,A8 Sedan,L 55 TFSI,
Audi,A8 Sedan,L 60 TFSI e,
Audi,A8 Sedan,L 60 TFSI e Sport,
Audi,A8 Sedan,L 55 TFSI Sport,
Audi,A8 Sedan,L 60 TFSI Sport,
Audi,A8 Sedan,S8,
Audi,Q2 Crossover SUV,Standard,
Audi,Q2 Crossover SUV,Edition #1,
Audi,Q3 Compact SUV,Premium,
Audi,Q3 Compact SUV,Premium Plus,
Audi,Q3 Compact SUV,Prestige,
Audi,Q5 Mid-Size SUV,Premium,
Audi,Q5 Mid-Size SUV,Premium Plus,
Audi,Q5 Mid-Size SUV,Prestige,
Audi,Q5 Mid-Size SUV,SQ5,
Audi,Q7 Full-Size SUV,Premium,
Audi,Q7 Full-Size SUV,Premium Plus,
Audi,Q7 Full-Size SUV,Prestige,
Audi,Q7 Full-Size SUV,SQ7,
Audi,Q8 Luxury SUV,Premium,
Audi,Q8 Luxury SUV,Premium Plus,
Audi,Q8 Luxury SUV,Prestige,
Audi,e-tron,Premium,
Audi,e-tron,Premium Plus,
Audi,e-tron,Prestige,
Audi,RS models,RS3 Sedan,
Audi,RS models,RS5 Coupé,
Audi,RS models,RS5 Sportback,
Audi,RS models,RS7 Sportback,
Audi,RS models,R8 Coupé/ V10 Spyder,
BMW,2 Series Coupé,230i,
BMW,3 Series Coupé,M240i xDrive,
BMW,4 Series Coupé,M2 Competition,
BMW,2 Series Convertible,230i,
BMW,3 Series Convertible,m240i xDrive,
BMW,3 Series Sedan,330i,
BMW,4 Series Sedan,330i xDrive,
BMW,5 Series Sedan,M340i,
BMW,6 Series Sedan,M3,
BMW,3 Series Touring,330i,
BMW,4 Series Touring,M340i xDrive,
BMW,4 Series Coupé,430i,
BMW,5 Series Coupé,430i xDrive,
BMW,6 Series Coupé,M440i xDrive,
BMW,7 Series Coupé,M4,
BMW,4 Series Convertible,430i,
BMW,5 Series Convertible,430i xDrive,
BMW,6 Series Convertible,M440i xDrive,
BMW,4 Series Gran Coupé,430i,
BMW,5 Series Gran Coupé,430i xDrive,
BMW,6 Series Gran Coupé,M440i xDrive,
BMW,5 Series Sedan,530i,
BMW,6 Series Sedan,530i xDrive,
BMW,7 Series Sedan,540i xDrive,
BMW,8 Series Sedan,M550i xDrive,
BMW,9 Series Sedan,M5,
BMW,6 Series Gran Turismo,630i xDrive,
BMW,7 Series Sedan,740i,
BMW,8 Series Sedan,740i xDrive,
BMW,9 Series Sedan,745e xDrive,
BMW,10 Series Sedan,750i xDrive,
BMW,11 Series Sedan,M760i xDrive,
BMW,8 Series Coupé,840i xDrive,
BMW,9 Series Coupé,M8,
BMW,8 Series Convertible,840i xDrive,
BMW,8 Series Gran Coupé,840i xDrive,
BMW,X1 Compact SUV,sDrive28i,
BMW,X1 Compact SUV,xDrive28i,
BMW,x2 Crossover SUV,sDrive28i,
BMW,x2 Crossover SUV,xDrive28i,
BMW,X3 Compact SUV,xDrive30i,
BMW,X3 Compact SUV,M40i,
BMW,X4 Crossover SUV,xDrive30i,
BMW,X4 Crossover SUV,M40i,
BMW,X4 Crossover SUV,M Performance,
BMW,X5 Mid-Size SUV,xDrive40i,
BMW,X5 Mid-Size SUV,M50i,
BMW,X5 Mid-Size SUV,X5 M,
BMW,X6 Crossover SUV,xDrive40i,
BMW,X6 Crossover SUV,M50i,
